proteinA_entrezid,proteinB_entrezid,databases
3269,3569,APID|intact
2908,85369,encode
3553,7334,signalink
10466,27185,intact
6285,11329,inweb|HIPPIE
2289,55884,APID|intact|instruct
6285,441521,biogrid
4747,29919,bioplex
8681,27185,intact
4684,162427,bioplex|HIPPIE
2908,150094,encode
7124,90268,inweb|HIPPIE|HINT-complex
1312,81853,hiunion
27185,55128,hiunion
2033,7124,innatedb|inweb
3358,55832,bioplex
627,4909,interactome3d|instruct|APID|HIPPIE|HINT-binary|intact|inweb
1312,6045,innatedb
2908,8362,encode
1432,6532,PhosphoSP
6390,27185,intact
2289,51268,bioplex|HIPPIE
23345,27185,instruct|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|pina
2932,4779,PhosphoSP|inweb
4524,10127,bioplex
2932,7316,inweb
2908,29893,inweb
3553,3553,instruct
1312,2866,intact|hiunion
8881,27185,bioplex
1813,6529,mint|intact
27185,57162,intact
2932,93974,instruct|APID|biogrid|mint|intact|pina
2908,8453,pina|APID|intact
8289,27185,intact
2908,79735,encode
3458,30009,innatedb
4524,55143,bioplex|HIPPIE
27175,27185,intact
27185,28996,intact
2908,23288,encode
2289,283643,HINT-binary
2932,23239,PhosphoSP|inweb|KinomeNetX
2908,3394,innatedb
7124,259217,bioplex|HIPPIE
1312,55652,intact|hiunion
147,1815,APID|intact
27185,80823,intact
2908,108281141,encode
2932,84626,pina
3659,7124,innatedb
2932,51684,PhosphoSP|KinomeNetX
2817,7422,inweb
2908,51016,encode
2908,6347,innatedb
4747,9099,instruct|hiunion|APID|biogrid|HINT-binary|intact
324,2932,PhosphoSP|innatedb|KinomeNetX|HINT-binary|inweb|HINT-complex
25942,121278,encode
3569,3569,HINT-binary|interactome3d|instruct
3553,55156,signalink
2695,2908,encode
4313,27185,intact
2908,9970,signalink
1716,4133,bioplex|HIPPIE
10644,27185,intact
2908,79050,encode
2932,10444,qubic
4684,65055,bioplex
2932,5580,PhosphoSP|inweb|KinomeNetX
2932,10743,instruct|APID|biogrid|mint|intact|pina
2670,4741,bioplex
23137,27185,hiunion
1808,27185,instruct|APID|biogrid|HIPPIE|intact|pina
1410,2670,inweb
5595,6532,qubic|PhosphoSP
2783,3358,bioplex
27185,94104,intact
2908,8502,signalink
6477,27185,intact
2932,10413,inweb
8828,27185,intact
1312,3881,instruct|hiunion|APID|biogrid|HINT-binary|intact
7124,51559,pina|APID|intact
7124,83446,intact|hiunion
2932,4744,PhosphoSP|KinomeNetX
2908,9052,encode
7750,27185,intact
598,2908,encode
6280,6285,intact|hiunion
27131,27185,intact
1312,7528,encode
4909,4915,interactome3d|instruct|APID|biogrid|HIPPIE|HINT-binary|intact|insider|litbm17|inweb|pina|HINT-complex
27185,51382,intact
3284,4524,bioplex
27185,127703,intact
3358,9375,mint|intact
10135,27185,intact
2801,27185,intact
2908,3001,innatedb
2670,27285,bioplex
2932,9158,instruct|APID|biogrid|mint|intact|pina
2908,9343,encode
2932,6662,PhosphoSP
5516,27185,intact
2932,84365,PhosphoSP|KinomeNetX
22902,27185,intact
2289,11035,innatedb
2932,7123,instruct|APID|biogrid|mint|intact|pina
2932,253260,HINT-binary|inweb|PhosphoSP|HIPPIE
7844,27185,intact
2932,5562,PhosphoSP
2932,6625,KinomeNetX
6667,7124,innatedb
2908,90678,encode
2697,3358,mint|intact
27185,51684,hiunion
5575,27185,intact
27185,51339,intact
3358,23167,bioplex
1813,6531,inweb
1500,2908,signalink
5530,27185,intact
2908,8350,encode|biogrid
2495,2908,encode|instruct|APID|biogrid|pina
2908,146310,encode
2908,29966,APID|biogrid
2908,10524,pina|APID|biogrid
3358,23513,intact
2908,5910,signalink
4067,4133,KinomeNetX
3188,27185,intact
4915,7316,inweb|HINT-complex
2908,55317,encode
7124,29927,inweb
1813,84687,instruct|APID|signalink|biogrid|HINT-binary|litbm17|inweb|HINT-complex
2908,135228,encode
2099,2289,HIPPIE|HINT-complex
2932,10152,KinomeNetX
1312,2010,intact|hiunion
2908,3696,encode
2932,8313,instruct|signalink|HIPPIE|HINT-binary|inweb|HINT-complex
8541,27185,hiunion
5573,27185,intact
3358,401152,mint|intact
4524,64421,bioplex
7124,7334,inweb
3358,100526737,bioplex
27185,112950,intact
2908,4502,encode
3476,27185,intact
8440,27185,hiunion
2908,6354,innatedb
6772,7124,innatedb
2908,4363,APID|biogrid
2932,10059,PhosphoSP|APID|biogrid|HIPPIE|litbm17|inweb
2908,339448,encode
5601,6532,PhosphoSP
4088,7422,innatedb
2908,6356,innatedb
1813,3356,intact
4133,10456,bioplex|HIPPIE
7124,9208,innatedb
6097,9575,APID|litbm17|biogrid
2908,26784,encode
2077,2908,encode
5970,7422,inweb
2908,5339,encode
2908,221481,encode
3553,3836,signalink
7422,9146,inweb
837,3553,HIPPIE
27185,55127,intact
1831,2908,innatedb
2670,2801,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2289,344387,bioplex|HIPPIE
3064,4747,instruct
6285,54461,instruct|hiunion|APID|biogrid|intact|mint|pina
6532,23515,qubic
3358,150771,bioplex
3356,3717,signalink|inweb
2908,92799,APID|biogrid
527,3358,mint|intact
2908,6498,encode
4087,7422,innatedb
7124,7132,instruct|innatedb|APID|biogrid|HIPPIE|HINT-binary|intact|mint|litbm17|inweb|bioplex|HINT-complex
6389,27185,intact
2908,348180,encode
1312,286223,hiunion
2670,644619,bioplex
3553,5770,inweb
4915,25759,HIPPIE
728,2908,encode
2932,57179,instruct|APID|biogrid|mint|intact|pina
2908,3801,encode
27185,64753,instruct|APID|biogrid|HIPPIE|intact|pina
2932,5971,PhosphoSP|inweb|KinomeNetX
2908,129787,encode
6804,27185,intact
1312,5997,instruct|APID|biogrid|mint|intact|pina
9747,27185,hiunion
3358,23357,bioplex
2289,81844,APID|intact|instruct
2670,9883,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|pina
1815,2885,inweb
3358,55334,intact|hiunion
2289,5134,HINT-binary
3553,23542,signalink
3358,55705,bioplex
2932,29115,instruct|APID|biogrid|mint|intact|pina
2908,91523,encode
2932,79873,qubic
2908,91875,inweb
627,6272,APID|intact|HIPPIE|hiunion
6285,10567,APID|intact|biogrid|hiunion
16,27185,intact
1362,27185,intact
2908,144501,encode
1045,2932,PhosphoSP|HIPPIE|KinomeNetX
27185,79925,intact
1312,140690,encode
1312,4609,encode
2908,5087,inweb
2932,3304,inweb|HIPPIE
2670,4221,inweb|HIPPIE
2932,4904,inweb
27185,29119,hiunion
2355,2908,encode
3358,56889,bioplex
1813,4904,signalink
2932,7534,innatedb|inweb
4133,5339,inweb
2908,3010,encode
2670,10015,inweb
2908,4051,encode
